SU_ID,POLLCLOSE_STATE_WEIGHT,POLLCLOSE_NATIONAL_WEIGHT,FINALVOTE_STATE_WEIGHT,FINALVOTE_NATIONAL_WEIGHT,P_STATE,STATENUM,LVA,LVB,LV,LIKELYVOTER,TIMEVOTE,TRUMPFACTOR3,FAVSENDEM,FAVSENREP,PARTYCONTROL,GETAHEAD,TRADENATIONALECON,TRADELOCALECON,HEALTHLAW,IMMDEPORT,RUSSIA,QPVVOTE,FIRSTTIME,QPVVOTE3,BREAKA,BREAKB,BREAKC,SEX,AGE65,RACETH,RACETH5,EDUC,INCOME,PARTY,PARTYFULL,IDEO,RELIG,RELIG4,SIZEPLACE,FORMFLAG
20000485,1245.5524497,1201.5054963,965.81085234,882.43405918,(AZ) Arizona,(4) Arizona,(1) Extremely interested,(5) I already voted,(12) Already voted,(1) Likely voter,(2) Early/Absentee,(2) Voted to express opposition for Trump,(2) Somewhat favorable,(4) Very unfavorable,(1) Very important,(2) Holding steady,(2) Hurt,(2) Hurt,(4) Expand the law,(1) Offered a chance to apply for legal status,(1) Yes,(4) I'm sure I voted,(2) Not,(4) I'm sure I voted,"(2) No, it is not","(1) Yes, it is",(2) I decided over the course of the campaign,(2) Women,(6) 65+,(1) White,(1) White,(2) Some college/assoc. degree,"(3) $50,000-$74,999",(1) Democrat,(1) Democrat/Lean Dem,(3) Moderate,(1) Protestant,(1) Protestant/Other Christian,(1) Urban,(2) Form 2
20000501,237.07096558,228.68733327,167.84018133,140.92439984,(WV) West Virginia,(49) West Virginia,(1) Extremely interested,(1) Definitely will vote,(10) 10-Certain will vote,(1) Likely voter,(1) Election Day,(1) Voted to express support for Trump,(4) Very unfavorable,(1) Very favorable,(1) Very important,(1) Getting ahead,(1) Help,(1) Help,(1) Repeal the law entirely,(2) Deported to the country they came from,(2) No,(4) I'm sure I voted,(2) Not,(4) I'm sure I voted,"(1) Yes, it is","(2) No, it is not",(2) I decided over the course of the campaign,(1) Men,(5) 50-64,(1) White,(1) White,(2) Some college/assoc. degree,(99) DON’T KNOW/SKIPPED/REFUSED (VOL),(3) Neither,(2) Republican/Lean Rep,(5) Very conservative,(8) None,(4) Unaffiliated,(4) Rural,(3) Form 3
20000503,128.65536857,124.10567898,140.8996877,182.98473447,(WI) Wisconsin,(48) Wisconsin,(2) Very interested,(1) Definitely will vote,(10) 10-Certain will vote,(1) Likely voter,(1) Election Day,(2) Voted to express opposition for Trump,(2) Somewhat favorable,(3) Somewhat unfavorable,(2) Somewhat important,(2) Holding steady,(2) Hurt,(2) Hurt,(2) Repeal parts of the law,(1) Offered a chance to apply for legal status,(99) DON'T KNOW/SKIPPED/REFUSED (VOL),(4) I'm sure I voted,(2) Not,(4) I'm sure I voted,"(2) No, it is not","(2) No, it is not",(2) I decided over the course of the campaign,(1) Men,(5) 50-64,(1) White,(1) White,(3) College graduate,"(2) $25,000-$49,999",(3) Neither,(2) Republican/Lean Rep,(3) Moderate,(2) Catholic,(2) Catholic,(1) Urban,(2) Form 2
20000622,1187.4757732,1145.4826078,776.85630359,704.44958698,(WA) Washington,(47) Washington,(1) Extremely interested,(5) I already voted,(12) Already voted,(1) Likely voter,(2) Early/Absentee,(1) Voted to express support for Trump,(4) Very unfavorable,(1) Very favorable,(1) Very important,(1) Getting ahead,(1) Help,(1) Help,(1) Repeal the law entirely,(2) Deported to the country they came from,(2) No,(4) I'm sure I voted,(2) Not,(4) I'm sure I voted,"(1) Yes, it is","(2) No, it is not",(1) I've known all along,(1) Men,(4) 40-49,(1) White,(1) White,(2) Some college/assoc. degree,"(5) $100,000 or more",(2) Republican,(2) Republican/Lean Rep,(5) Very conservative,(8) None,(4) Unaffiliated,(4) Rural,(1) Form 1
20000662,881.22932768,850.06607388,626.14477711,762.41008165,(WV) West Virginia,(49) West Virginia,(2) Very interested,(1) Definitely will vote,(10) 10-Certain will vote,(1) Likely voter,(1) Election Day,(2) Voted to express opposition for Trump,(2) Somewhat favorable,(4) Very unfavorable,(1) Very important,(3) Falling behind,(2) Hurt,(2) Hurt,(4) Expand the law,(1) Offered a chance to apply for legal status,(1) Yes,(4) I'm sure I voted,(2) Not,(4) I'm sure I voted,"(2) No, it is not","(1) Yes, it is",(1) I've known all along,(1) Men,(4) 40-49,(1) White,(1) White,(1) High school or less,"(1) Under $25,000",(1) Democrat,(1) Democrat/Lean Dem,(3) Moderate,(8) None,(4) Unaffiliated,(1) Urban,(3) Form 3
20000702,8177.233424,7888.0587534,6216.4229446,5996.5891739,(FL) Florida,(9) Florida,(2) Very interested,(1) Definitely will vote,(10) 10-Certain will vote,(1) Likely voter,(2) Early/Absentee,(2) Voted to express opposition for Trump,(2) Somewhat favorable,(4) Very unfavorable,(1) Very important,(2) Holding steady,(2) Hurt,(2) Hurt,(4) Expand the law,(1) Offered a chance to apply for legal status,(1) Yes,(4) I'm sure I voted,(2) Not,(4) I'm sure I voted,"(2) No, it is not","(1) Yes, it is",(1) I've known all along,(2) Women,(2) 25-29,(88) REMOVED FOR DISCLOSURE RISK,(1) White,(2) Some college/assoc. degree,"(2) $25,000-$49,999",(1) Democrat,(1) Democrat/Lean Dem,(1) Very liberal,(8) None,(4) Unaffiliated,(1) Urban,(2) Form 2
20000740,438.07685019,422.58496897,257.98733534,201.21559151,(PA) Pennsylvania,(38) Pennsylvania,(1) Extremely interested,(1) Definitely will vote,(10) 10-Certain will vote,(1) Likely voter,(1) Election Day,(2) Voted to express opposition for Trump,(2) Somewhat favorable,(4) Very unfavorable,(1) Very important,(1) Getting ahead,(2) Hurt,(2) Hurt,(4) Expand the law,(1) Offered a chance to apply for legal status,(1) Yes,(4) I'm sure I voted,(2) Not,(4) I'm sure I voted,"(2) No, it is not","(1) Yes, it is",(1) I've known all along,(1) Men,(6) 65+,(1) White,(1) White,(4) Postgraduate study,"(3) $50,000-$74,999",(1) Democrat,(1) Democrat/Lean Dem,(2) Somewhat liberal,(5) Jewish,(3) Other,(3) Small town,(3) Form 3
20000828,470.79859122,454.14955841,466.05299614,488.59055107,(MA) Massachusetts,(19) Massachusetts,(1) Extremely interested,(1) Definitely will vote,(10) 10-Certain will vote,(1) Likely voter,(2) Early/Absentee,(3) Trump was not a factor,(3) Somewhat unfavorable,(4) Very unfavorable,(1) Very important,(2) Holding steady,(2) Hurt,(2) Hurt,(3) Leave the law as is,(1) Offered a chance to apply for legal status,(1) Yes,(4) I'm sure I voted,(2) Not,(4) I'm sure I voted,"(2) No, it is not","(1) Yes, it is",(2) I decided over the course of the campaign,(2) Women,(5) 50-64,(88) REMOVED FOR DISCLOSURE RISK,(1) White,(4) Postgraduate study,"(5) $100,000 or more",(3) Neither,(1) Democrat/Lean Dem,(1) Very liberal,(7) Something else,(3) Other,(2) Suburban,(1) Form 1
20000877,8944.4413421,8628.1356009,341.47738937,10612.929285,(CA) California,(5) California,(1) Extremely interested,(5) I already voted,(12) Already voted,(1) Likely voter,(2) Early/Absentee,(1) Voted to express support for Trump,,,(1) Very important,(1) Getting ahead,(1) Help,(1) Help,(1) Repeal the law entirely,(1) Offered a chance to apply for legal status,(2) No,(4) I'm sure I voted,(2) Not,(4) I'm sure I voted,"(1) Yes, it is","(2) No, it is not",(1) I've known all along,(2) Women,(5) 50-64,(3) Latino or Hispanic,(3) Latino or Hispanic,(2) Some college/assoc. degree,"(3) $50,000-$74,999",(2) Republican,(2) Republican/Lean Rep,(5) Very conservative,(2) Catholic,(2) Catholic,(3) Small town,(3) Form 3
20000895,330.89950983,319.19778239,756.06872254,708.8537681,(MD) Maryland,(20) Maryland,(5) Not at all interested,(3) Probably will not vote,(3) 3,(2) Nonvoter,(1) Election Day,,(99) DON’T KNOW/SKIPPED/REFUSED (VOL),(99) DON’T KNOW/SKIPPED/REFUSED (VOL),,(3) Falling behind,(2) Hurt,(3) No difference,(4) Expand the law,(1) Offered a chance to apply for legal status,(99) DON'T KNOW/SKIPPED/REFUSED (VOL),"(2) I thought about voting in the 2016 presidential election, but didn't",(2) Not,(1) I did not vote in the 2014 election for Congress,"(2) No, it is not","(1) Yes, it is",,(2) Women,(5) 50-64,(1) White,(1) White,(3) College graduate,"(1) Under $25,000",(1) Democrat,(1) Democrat/Lean Dem,(2) Somewhat liberal,(5) Jewish,(3) Other,(3) Small town,(1) Form 1
20001002,140.11293812,135.15807005,120.80397201,115.70149529,(MO) Missouri,(24) Missouri,(1) Extremely interested,(1) Definitely will vote,(10) 10-Certain will vote,(1) Likely voter,(1) Election Day,(2) Voted to express opposition for Trump,(2) Somewhat favorable,(4) Very unfavorable,(1) Very important,(2) Holding steady,(2) Hurt,(2) Hurt,(4) Expand the law,(1) Offered a chance to apply for legal status,(1) Yes,(4) I'm sure I voted,(2) Not,(4) I'm sure I voted,"(2) No, it is not","(1) Yes, it is",(1) I've known all along,(1) Men,(5) 50-64,(88) REMOVED FOR DISCLOSURE RISK,(1) White,(2) Some college/assoc. degree,"(3) $50,000-$74,999",(1) Democrat,(1) Democrat/Lean Dem,(1) Very liberal,(8) None,(4) Unaffiliated,(2) Suburban,(2) Form 2
20001029,1840.1362307,1775.0627809,1116.5856185,1146.6320609,(VA) Virginia,(45) Virginia,(1) Extremely interested,(1) Definitely will vote,(10) 10-Certain will vote,(1) Likely voter,(1) Election Day,(3) Trump was not a factor,(1) Very favorable,(99) DON’T KNOW/SKIPPED/REFUSED (VOL),(1) Very important,(3) Falling behind,(2) Hurt,(2) Hurt,(99) DON’T KNOW/SKIPPED/REFUSED (VOL),(1) Offered a chance to apply for legal status,(1) Yes,(4) I'm sure I voted,(2) Not,(99) DON'T KNOW/SKIPPED/REFUSED (VOL),"(2) No, it is not","(1) Yes, it is",(1) I've known all along,(2) Women,(5) 50-64,(2) African American or Black,(2) African American or Black,(2) Some college/assoc. degree,"(1) Under $25,000",(1) Democrat,(1) Democrat/Lean Dem,(2) Somewhat liberal,(7) Something else,(3) Other,(3) Small town,(3) Form 3
20001043,335.26095709,323.4049941,325.45960651,299.94076862,(MI) Michigan,(22) Michigan,(1) Extremely interested,(1) Definitely will vote,(10) 10-Certain will vote,(1) Likely voter,(1) Election Day,(2) Voted to express opposition for Trump,(1) Very favorable,(4) Very unfavorable,(1) Very important,(3) Falling behind,(2) Hurt,(2) Hurt,(4) Expand the law,(1) Offered a chance to apply for legal status,(1) Yes,(4) I'm sure I voted,(2) Not,(1) I did not vote in the 2014 election for Congress,"(2) No, it is not","(1) Yes, it is",(1) I've known all along,(2) Women,(1) 18-24,(1) White,(1) White,(2) Some college/assoc. degree,"(2) $25,000-$49,999",(1) Democrat,(1) Democrat/Lean Dem,(2) Somewhat liberal,(4) Other Christian,(1) Protestant/Other Christian,(1) Urban,(4) Form 4
20001100,654.19425907,631.05973428,469.81316233,530.10737077,(WA) Washington,(47) Washington,(1) Extremely interested,(5) I already voted,(12) Already voted,(1) Likely voter,(2) Early/Absentee,(3) Trump was not a factor,(1) Very favorable,(4) Very unfavorable,(1) Very important,(2) Holding steady,(2) Hurt,(3) No difference,(4) Expand the law,(1) Offered a chance to apply for legal status,(1) Yes,(4) I'm sure I voted,(2) Not,(4) I'm sure I voted,"(2) No, it is not","(1) Yes, it is",(1) I've known all along,(2) Women,(2) 25-29,(1) White,(1) White,(3) College graduate,"(2) $25,000-$49,999",(1) Democrat,(1) Democrat/Lean Dem,(1) Very liberal,(8) None,(4) Unaffiliated,(2) Suburban,(1) Form 1
20001138,1746.7560825,1684.984871,3747.0528747,1201.7809479,(MS) Mississippi,(25) Mississippi,(99) DON’T KNOW/SKIPPED/REFUSED (VOL),(1) Definitely will vote,(10) 10-Certain will vote,(1) Likely voter,(1) Election Day,(1) Voted to express support for Trump,(99) DON’T KNOW/SKIPPED/REFUSED (VOL),(2) Somewhat favorable,(1) Very important,(1) Getting ahead,(1) Help,(1) Help,(2) Repeal parts of the law,(2) Deported to the country they came from,(2) No,(4) I'm sure I voted,(2) Not,(4) I'm sure I voted,"(1) Yes, it is","(2) No, it is not",(1) I've known all along,(1) Men,(5) 50-64,(1) White,(1) White,(1) High school or less,"(2) $25,000-$49,999",(2) Republican,(2) Republican/Lean Rep,(5) Very conservative,(1) Protestant,(1) Protestant/Other Christian,(3) Small town,(4) Form 4
20001147,464.21447091,447.7982749,351.31600128,290.3422894,(TN) Tennessee,(42) Tennessee,(1) Extremely interested,(1) Definitely will vote,(10) 10-Certain will vote,(1) Likely voter,(1) Election Day,(2) Voted to express opposition for Trump,(1) Very favorable,(4) Very unfavorable,(1) Very important,(3) Falling behind,(2) Hurt,(3) No difference,(4) Expand the law,(1) Offered a chance to apply for legal status,(1) Yes,(4) I'm sure I voted,(2) Not,(1) I did not vote in the 2014 election for Congress,"(2) No, it is not","(1) Yes, it is",(1) I've known all along,(2) Women,(4) 40-49,(88) REMOVED FOR DISCLOSURE RISK,(1) White,(4) Postgraduate study,"(2) $25,000-$49,999",(1) Democrat,(1) Democrat/Lean Dem,(2) Somewhat liberal,(4) Other Christian,(1) Protestant/Other Christian,(3) Small town,(2) Form 2
20001149,536.16794089,517.20722647,319.00491753,302.25245595,(TX) Texas,(43) Texas,(2) Very interested,(5) I already voted,(12) Already voted,(1) Likely voter,(2) Early/Absentee,(2) Voted to express opposition for Trump,(1) Very favorable,(4) Very unfavorable,(2) Somewhat important,(2) Holding steady,(2) Hurt,(2) Hurt,(4) Expand the law,(1) Offered a chance to apply for legal status,(1) Yes,(4) I'm sure I voted,(2) Not,(4) I'm sure I voted,"(2) No, it is not","(1) Yes, it is",(2) I decided over the course of the campaign,(1) Men,(5) 50-64,(88) REMOVED FOR DISCLOSURE RISK,(3) Latino or Hispanic,(3) College graduate,"(4) $75,000-$99,999",(3) Neither,(1) Democrat/Lean Dem,(3) Moderate,(2) Catholic,(2) Catholic,(1) Urban,(2) Form 2
20001154,317.22108403,306.00307206,223.40370831,243.84992716,(NJ) New Jersey,(31) New Jersey,(1) Extremely interested,(1) Definitely will vote,(10) 10-Certain will vote,(1) Likely voter,(1) Election Day,(3) Trump was not a factor,(4) Very unfavorable,(2) Somewhat favorable,(2) Somewhat important,(2) Holding steady,(1) Help,(3) No difference,(2) Repeal parts of the law,(1) Offered a chance to apply for legal status,(2) No,(4) I'm sure I voted,(2) Not,(4) I'm sure I voted,"(1) Yes, it is","(2) No, it is not",(4) I still haven't decided,(1) Men,(5) 50-64,(1) White,(1) White,(3) College graduate,"(5) $100,000 or more",(3) Neither,(3) Independent,(3) Moderate,(2) Catholic,(2) Catholic,(2) Suburban,(3) Form 3
20001167,37.005943171,35.697287679,33.409031423,31.867337708,(NH) New Hampshire,(30) New Hampshire,(1) Extremely interested,(1) Definitely will vote,(10) 10-Certain will vote,(1) Likely voter,(1) Election Day,(2) Voted to express opposition for Trump,,,,(1) Getting ahead,(2) Hurt,(2) Hurt,(4) Expand the law,(1) Offered a chance to apply for legal status,(1) Yes,(4) I'm sure I voted,(2) Not,(4) I'm sure I voted,"(2) No, it is not","(1) Yes, it is",(1) I've known all along,(1) Men,(6) 65+,(1) White,(1) White,(4) Postgraduate study,"(5) $100,000 or more",(1) Democrat,(1) Democrat/Lean Dem,(2) Somewhat liberal,(7) Something else,(3) Other,(3) Small town,(4) Form 4
20001191,679.1248783,655.10872237,575.15871189,505.88380402,(TN) Tennessee,(42) Tennessee,(1) Extremely interested,(1) Definitely will vote,(10) 10-Certain will vote,(1) Likely voter,(1) Election Day,(2) Voted to express opposition for Trump,(1) Very favorable,(4) Very unfavorable,(1) Very important,(3) Falling behind,(2) Hurt,(2) Hurt,(1) Repeal the law entirely,(1) Offered a chance to apply for legal status,(1) Yes,"(3) I usually vote, but I didn't in the 2016 presidential election",(2) Not,(4) I'm sure I voted,"(2) No, it is not","(1) Yes, it is",(1) I've known all along,(1) Men,(5) 50-64,(88) REMOVED FOR DISCLOSURE RISK,(2) African American or Black,(2) Some college/assoc. degree,"(2) $25,000-$49,999",(1) Democrat,(1) Democrat/Lean Dem,(1) Very liberal,(4) Other Christian,(1) Protestant/Other Christian,(1) Urban,(2) Form 2
20001234,790.80489293,762.83935341,787.8938649,653.81237743,(MD) Maryland,(20) Maryland,(1) Extremely interested,(1) Definitely will vote,(10) 10-Certain will vote,(1) Likely voter,(1) Election Day,(2) Voted to express opposition for Trump,(1) Very favorable,(99) DON’T KNOW/SKIPPED/REFUSED (VOL),(1) Very important,(2) Holding steady,(2) Hurt,(3) No difference,(4) Expand the law,(1) Offered a chance to apply for legal status,(1) Yes,(4) I'm sure I voted,(2) Not,"(3) I usually vote, but I didn't in the 2014 election for Congress","(2) No, it is not","(1) Yes, it is",(1) I've known all along,(2) Women,(5) 50-64,(1) White,(1) White,(2) Some college/assoc. degree,"(4) $75,000-$99,999",(1) Democrat,(1) Democrat/Lean Dem,(2) Somewhat liberal,(8) None,(4) Unaffiliated,(3) Small town,(2) Form 2
20001274,575.78764573,555.42584435,470.31953201,433.71933686,(AZ) Arizona,(4) Arizona,(1) Extremely interested,(5) I already voted,(12) Already voted,(1) Likely voter,(2) Early/Absentee,(1) Voted to express support for Trump,(4) Very unfavorable,(1) Very favorable,(1) Very important,(2) Holding steady,(1) Help,(1) Help,(1) Repeal the law entirely,(1) Offered a chance to apply for legal status,(2) No,(4) I'm sure I voted,(2) Not,(4) I'm sure I voted,"(1) Yes, it is","(2) No, it is not",(1) I've known all along,(2) Women,(6) 65+,(1) White,(1) White,(2) Some college/assoc. degree,"(3) $50,000-$74,999",(2) Republican,(2) Republican/Lean Rep,(4) Somewhat conservative,(1) Protestant,(1) Protestant/Other Christian,(2) Suburban,(1) Form 1
20001317,489.06301939,471.76809455,312.50567689,284.53024052,(OH) Ohio,(35) Ohio,(1) Extremely interested,(5) I already voted,(12) Already voted,(1) Likely voter,(2) Early/Absentee,(2) Voted to express opposition for Trump,(4) Very unfavorable,(99) DON’T KNOW/SKIPPED/REFUSED (VOL),(1) Very important,(2) Holding steady,(2) Hurt,(2) Hurt,(4) Expand the law,(1) Offered a chance to apply for legal status,(1) Yes,(4) I'm sure I voted,(2) Not,(4) I'm sure I voted,"(2) No, it is not","(1) Yes, it is",(1) I've known all along,(2) Women,(5) 50-64,(88) REMOVED FOR DISCLOSURE RISK,(1) White,(3) College graduate,"(3) $50,000-$74,999",(3) Neither,(1) Democrat/Lean Dem,(2) Somewhat liberal,(1) Protestant,(1) Protestant/Other Christian,(4) Rural,(3) Form 3
20001320,221.3497509,213.52207398,202.29939494,217.68000338,(MN) Minnesota,(23) Minnesota,(4) Only a little interested,(1) Definitely will vote,(9) 9,(1) Likely voter,(1) Election Day,(3) Trump was not a factor,(1) Very favorable,(99) DON’T KNOW/SKIPPED/REFUSED (VOL),(4) Not at all important,(2) Holding steady,(2) Hurt,(2) Hurt,(2) Repeal parts of the law,(1) Offered a chance to apply for legal status,(1) Yes,(4) I'm sure I voted,(2) Not,(4) I'm sure I voted,"(2) No, it is not","(2) No, it is not",(2) I decided over the course of the campaign,(2) Women,(6) 65+,(1) White,(1) White,(3) College graduate,"(2) $25,000-$49,999",(3) Neither,(1) Democrat/Lean Dem,(3) Moderate,(1) Protestant,(1) Protestant/Other Christian,(3) Small town,(4) Form 4
