"","SEX","RACE","MAR","LANX","WAOB","DIS","HICOV","MIG","SCH"
"139",2,1,1,2,1,2,2,1,1
"140",1,2,1,1,1,1,1,1,1
"141",2,3,1,2,1,2,2,1,1
"142",2,1,1,2,1,1,1,1,1
"143",1,1,1,2,1,2,1,1,1
"144",1,1,1,1,3,2,1,1,1
"145",2,1,1,1,5,2,1,1,1
"146",1,2,5,1,6,2,2,1,1
"147",1,1,1,2,1,2,1,1,1
"148",2,1,1,2,1,1,1,1,1
"149",1,1,1,2,1,1,1,1,1
"150",1,1,5,2,1,2,1,1,1
"151",1,1,1,2,1,2,1,1,1
"152",2,1,1,2,1,2,1,1,1
"153",1,2,3,2,1,2,1,1,1
"154",2,1,4,2,1,2,1,1,1
"155",2,1,3,2,1,1,1,1,1
"156",2,1,5,2,1,2,1,1,2
"157",1,1,5,1,1,2,1,1,1
"158",2,1,3,2,1,1,1,1,1
"159",2,1,5,1,3,2,1,3,1
"160",1,1,5,2,1,2,1,1,2
"161",1,1,1,2,1,2,1,1,1
"162",2,1,1,2,1,2,1,1,1
"163",1,5,1,2,1,2,1,1,1
"164",2,5,1,2,1,2,1,1,1
"165",1,1,1,2,1,2,1,1,1
"166",2,1,1,2,1,2,1,1,1
"167",2,1,5,2,1,2,1,1,1
"168",2,1,1,2,1,2,1,1,1
"169",1,1,1,2,1,2,1,1,1
"170",1,1,1,1,3,2,2,1,1
"171",2,1,1,2,1,2,1,1,1
"172",1,1,1,1,3,2,2,1,1
"173",2,1,1,2,1,2,1,1,1
"174",1,1,5,2,1,2,2,1,1
"175",2,2,3,2,1,1,1,1,1
"176",1,2,5,2,1,2,1,1,1
"177",2,1,2,1,1,2,1,1,1
"178",2,1,1,2,1,2,1,1,1
"179",1,1,5,1,3,2,2,1,1
"180",1,1,5,1,1,2,1,1,1
"181",1,1,1,2,1,2,1,1,1
"182",2,1,1,2,1,2,1,1,1
"183",1,1,1,2,5,2,1,1,1
"184",2,1,1,2,1,2,1,1,1
"185",1,1,2,2,1,2,1,1,1
"186",1,1,1,2,1,2,1,3,1
"187",2,1,1,2,1,2,1,3,1
"188",2,1,3,2,1,2,1,1,1
"189",2,1,5,2,1,2,1,1,2
"190",1,1,5,2,1,2,1,3,2
"191",1,1,5,2,1,1,1,3,2
"192",2,1,5,2,1,2,1,3,2
"193",1,2,5,2,1,2,1,1,1
"194",2,6,5,2,4,2,1,1,1
"195",2,2,1,2,1,2,2,1,2
"196",1,2,1,2,1,2,1,1,1
"197",1,1,5,2,1,2,1,3,2
"198",2,1,1,1,3,2,1,1,1
"199",1,1,1,2,1,2,1,1,1
"200",1,1,5,2,1,2,2,3,2
"201",1,1,3,2,1,2,1,1,1
"202",2,1,3,2,1,2,1,1,2
"203",2,2,1,2,1,1,1,3,1
"204",1,2,1,2,1,1,1,3,2
"205",1,2,5,2,1,2,2,3,1
"206",1,1,1,2,1,2,1,1,1
"207",2,1,1,2,1,2,1,1,1
"208",2,1,3,2,1,2,1,1,1
"209",2,1,1,2,1,2,1,1,1
"210",1,1,1,2,1,2,1,1,1
"211",2,1,1,1,3,2,2,1,1
"212",1,3,1,2,1,2,1,1,1
"213",1,1,1,2,1,2,1,1,1
"214",2,1,1,2,1,1,1,1,1
"215",1,1,1,2,1,2,1,1,1
"216",2,1,1,2,1,2,1,1,1
"217",1,1,1,2,1,2,1,1,1
"218",2,1,1,2,1,2,1,1,1
"219",2,1,2,2,1,1,1,1,1
"220",1,1,5,2,1,2,1,3,3
"221",2,1,5,2,1,2,2,3,3
"222",1,1,1,2,1,1,1,1,1
"223",2,1,1,2,1,2,1,1,1
"224",1,1,5,2,1,2,1,1,1
"225",1,2,3,2,1,2,1,1,1
"226",2,1,5,2,1,2,1,1,1
"227",2,1,1,2,1,2,1,1,1
"228",1,1,1,2,1,2,1,1,1
"229",2,1,5,2,1,2,1,1,3
"230",1,2,5,2,1,2,2,3,1
"231",2,1,3,2,1,1,1,1,1
"232",1,1,1,2,1,2,1,1,1
"233",1,1,5,2,1,2,1,3,2
"234",2,1,1,2,1,1,1,1,1
"235",2,1,3,2,1,1,1,1,1
"236",1,1,1,2,1,2,1,3,1
"237",2,1,1,2,1,2,1,3,1
"238",1,1,5,2,1,2,2,3,2
"239",1,1,3,1,3,2,2,1,1
"240",1,1,4,2,1,2,2,3,1
"241",1,2,5,2,1,2,2,1,1
"242",2,1,1,2,1,2,1,1,1
"243",1,1,1,2,1,2,1,1,1
"244",2,1,2,2,1,2,1,1,1
"245",1,1,3,2,1,2,1,1,1
"246",2,1,3,2,1,2,2,1,1
"247",1,1,1,2,1,2,1,1,1
"248",2,1,1,2,1,2,1,1,1
"249",2,1,2,1,3,1,1,1,1
"250",2,1,2,2,1,2,1,1,1
"251",1,1,1,1,5,2,1,1,1
"252",2,1,1,2,1,2,1,1,1
"253",1,1,1,2,1,2,1,1,1
"254",2,1,1,2,1,2,1,1,1
"255",1,1,1,2,1,2,1,1,1
"256",2,1,1,2,1,2,1,1,1
"257",2,6,1,2,4,2,1,3,1
"258",1,2,1,1,6,2,1,1,1
"259",2,2,1,2,1,1,1,1,1
"260",1,1,1,2,1,2,1,1,1
"261",2,1,1,2,1,2,1,1,1
"262",2,1,2,2,1,2,1,1,1
"263",2,1,4,2,1,2,1,3,1
"264",1,1,3,2,1,2,1,3,1
"265",1,1,1,2,1,2,1,1,1
"266",2,1,1,2,1,2,2,1,1
"267",2,1,2,2,1,2,1,1,1
"268",2,1,3,2,1,2,2,1,1
"269",2,1,2,2,1,2,1,1,1
"270",2,1,1,2,1,2,1,1,1
"271",2,1,5,2,1,2,1,1,1
"272",1,1,1,1,1,2,1,1,1
"273",2,1,4,2,1,2,1,1,1
"274",2,1,5,2,1,2,1,3,1
"275",2,1,5,2,1,1,1,3,1
"276",2,1,5,2,1,2,1,1,2
"277",2,1,2,2,1,1,1,1,1
"278",2,1,5,2,1,2,2,1,1
"279",1,1,3,1,1,2,1,1,2
"280",1,1,1,2,1,2,1,1,1
"281",2,1,1,2,5,2,1,1,1
"282",1,2,2,1,1,2,1,1,1
"283",2,2,5,2,1,1,1,1,1
"284",1,1,1,2,1,2,1,1,1
"285",2,1,1,2,1,1,1,1,1
"286",2,3,2,2,1,2,1,1,1
"287",2,1,3,2,1,1,1,1,1
"288",1,1,3,2,1,2,1,1,1
"289",2,1,5,2,1,2,1,1,1
"290",2,1,2,1,3,2,2,1,1
"291",2,1,1,2,1,2,1,3,1
"292",1,1,1,2,1,2,1,3,1
"293",1,1,4,2,1,2,1,1,1
"294",2,1,5,2,1,2,1,1,1
"295",1,2,1,2,1,2,1,1,1
"296",2,2,1,2,1,2,1,1,1
"297",2,5,5,2,1,2,1,1,2
"298",2,2,3,2,1,2,1,1,2
"299",1,2,1,2,1,2,1,1,1
"300",2,2,1,2,1,2,1,1,1
"301",2,1,3,2,1,2,1,1,1
"302",2,2,2,2,1,1,1,1,1
"303",1,1,1,2,1,2,1,1,1
"304",2,1,1,2,1,2,1,1,1
"305",2,1,3,2,1,2,1,1,1
"306",2,1,1,2,1,2,1,1,1
"307",1,1,1,2,5,1,1,1,1
"308",2,1,1,2,1,2,2,1,1
"309",1,1,1,2,1,2,1,1,1
"310",2,1,4,2,1,2,1,3,1
"311",2,1,3,2,1,1,1,1,1
"312",2,1,5,2,1,2,2,3,1
"313",2,1,1,2,1,2,1,1,1
"314",1,1,1,2,1,2,1,1,1
"315",1,1,5,2,1,2,1,1,1
"316",2,1,5,2,1,1,1,1,2
"317",1,5,1,2,1,2,1,1,1
"318",2,6,1,2,4,2,1,1,1
"319",1,1,1,2,1,2,1,1,1
"320",2,1,1,2,1,2,1,1,1
"321",1,1,5,2,1,2,1,1,2
"322",1,1,5,2,1,2,1,1,1
"323",2,2,1,2,1,2,1,1,1
"324",1,2,1,2,1,2,1,1,1
"325",1,1,2,2,1,2,1,3,1
"326",2,5,3,2,1,2,1,1,3
"327",2,2,5,2,1,2,2,1,1
"328",2,1,4,2,1,2,2,1,1
"329",2,1,5,2,1,2,1,3,2
"330",2,1,5,2,1,2,1,3,2
"331",2,1,5,2,1,1,1,3,2
"332",1,6,1,2,4,2,1,2,1
"333",2,6,1,2,4,2,1,2,1
"334",1,1,1,1,3,2,2,1,1
"335",2,1,1,2,1,2,1,1,1
"336",1,1,3,2,1,2,1,1,1
"337",2,1,2,2,1,1,1,1,1
"338",1,1,3,2,1,1,1,1,1
"339",1,1,5,2,1,2,1,1,1
"340",2,2,3,2,1,2,1,1,1
"341",1,1,1,2,1,2,1,1,1
"342",2,1,1,2,1,2,1,1,1
"343",2,1,2,1,1,2,1,1,1
"344",2,2,5,2,1,2,1,1,1
"345",1,2,5,2,1,2,2,1,1
"346",1,1,1,2,1,2,1,1,1
"347",2,1,1,2,1,2,1,1,1
"348",1,1,1,2,1,2,1,1,1
"349",2,1,1,2,1,2,1,1,1
"350",1,1,5,2,1,1,2,1,2
"351",1,2,5,2,1,2,1,1,1
"352",1,2,1,2,1,1,2,1,1
"353",2,2,1,2,1,2,1,1,1
"354",1,1,1,2,1,2,2,1,1
"355",2,1,1,1,3,2,1,1,1
"356",1,1,1,2,1,2,1,1,1
"357",2,1,1,2,1,2,1,1,1
"358",1,1,1,2,1,2,1,1,1
"359",2,1,1,2,1,1,1,1,1
"360",2,2,5,2,1,2,1,1,2
"361",2,1,2,2,1,1,1,1,1
"362",2,1,2,2,1,2,1,1,1
"363",1,1,1,1,3,2,2,1,1
"364",2,1,1,2,1,2,1,1,1
"365",2,1,1,2,1,2,1,1,1
"366",1,1,1,1,3,2,2,1,1
"367",1,1,3,1,1,2,1,1,2
"368",1,1,1,2,1,2,1,1,1
"369",2,1,1,2,1,2,1,1,1
"370",2,1,1,2,1,2,1,1,1
"371",1,1,1,1,1,2,1,1,1
"372",2,1,4,2,1,1,1,1,1
"373",2,1,2,2,1,2,1,1,1
"374",2,1,2,2,1,2,1,1,1
"375",2,1,1,2,1,2,1,1,1
"376",1,1,1,2,1,2,1,1,1
"377",2,1,1,2,1,1,2,1,1
"378",1,1,1,1,4,2,1,1,1
"379",2,1,3,2,1,1,1,1,1
"380",2,1,3,2,1,2,2,3,1
"381",1,2,1,2,1,1,1,3,1
"382",1,5,1,2,1,1,1,1,1
"383",2,1,1,2,1,2,1,1,1
"384",2,1,5,2,1,2,1,1,2
"385",2,1,5,2,1,2,1,1,1
"386",1,1,1,2,1,1,1,1,1
"387",2,1,1,2,1,2,1,1,1
"388",1,1,1,2,1,2,1,1,1
"389",2,1,1,2,1,2,2,1,1
"390",1,1,5,2,1,2,1,1,2
"391",2,1,3,1,1,2,2,1,1
"392",1,1,5,2,1,2,1,1,1
"393",1,1,5,2,1,2,2,1,1
"394",1,1,5,2,1,2,1,1,1
"395",1,1,5,2,1,1,1,1,1
"396",1,1,5,2,1,2,1,1,1
"397",2,2,3,2,1,2,2,1,3
"398",1,2,5,2,1,2,2,1,1
"399",2,2,2,2,1,1,1,1,1
"400",1,2,5,2,1,2,1,1,2
"401",1,1,3,2,1,2,1,1,1
"402",2,1,5,2,1,2,1,3,2
"403",2,1,3,2,1,2,1,1,1
"404",2,2,1,2,1,2,2,1,1
"405",1,2,1,2,1,2,2,1,1
"406",2,1,3,2,1,2,1,1,1
"407",1,2,1,2,1,1,1,1,1
"408",2,2,1,2,1,2,1,1,1
"409",1,1,1,2,1,2,1,1,1
"410",2,1,1,2,1,2,1,1,1
"411",2,1,3,2,1,2,2,1,1
"412",2,1,1,2,1,2,1,3,1
"413",1,1,1,2,1,2,1,3,1
"414",1,1,1,2,1,2,1,1,1
"415",2,1,1,2,1,2,1,1,1
"416",1,1,1,2,1,2,1,1,1
"417",2,1,1,2,1,2,1,1,1
"418",1,2,4,2,1,2,2,1,1
"419",2,2,5,2,1,2,2,1,1
"420",2,1,1,2,1,2,1,3,1
"421",1,1,1,2,1,1,1,3,1
"422",2,1,1,2,1,2,1,3,1
"423",1,1,1,2,1,2,1,3,1
"424",2,1,1,2,1,2,1,1,1
"425",1,1,1,2,1,2,1,1,1
"426",2,1,3,2,1,1,1,1,1
"427",1,1,5,2,1,2,1,1,3
"428",2,1,1,2,1,2,1,1,1
"429",1,1,1,2,1,2,1,1,1
"430",2,1,5,2,1,2,1,1,1
"431",2,2,5,2,1,2,1,1,1
"432",1,2,5,2,1,2,1,1,1
"433",1,1,1,2,1,2,1,1,1
"434",2,1,1,1,5,2,1,1,1
"435",2,1,1,2,1,2,1,1,1
"436",1,1,1,2,1,2,1,1,1
"437",2,1,1,2,1,2,1,1,1
"438",1,1,1,2,1,1,1,1,1
"439",1,1,5,1,2,2,2,1,2
"440",1,1,5,2,1,2,1,1,1
"441",2,1,2,2,1,1,1,1,1
"442",1,1,5,2,1,2,2,3,3
"443",1,1,5,2,1,2,2,3,3
"444",1,1,5,2,1,2,1,3,1
"445",1,1,5,2,1,1,1,1,1
"446",1,2,5,2,1,2,1,1,1
"447",1,2,1,2,1,2,1,1,1
"448",2,2,1,2,1,2,1,1,1
"449",1,1,1,2,1,2,1,1,2
"450",2,1,1,2,1,2,1,1,1
"451",1,2,5,2,1,2,1,1,2
"452",2,2,3,2,1,2,2,1,1
"453",2,1,2,2,1,1,1,1,1
"454",1,1,5,2,1,2,2,3,1
"455",1,1,1,2,1,2,1,1,1
"456",2,1,1,2,1,2,1,1,1
"457",1,1,1,2,1,2,1,1,1
"458",2,1,1,2,1,2,1,1,1
"459",2,1,5,2,1,2,1,1,1
"460",1,1,1,2,1,2,1,1,1
"461",2,2,1,2,1,2,1,1,1
"462",1,1,5,2,1,2,1,1,1
"463",1,1,1,2,1,2,1,1,1
"464",2,1,1,2,1,2,1,1,1
"465",2,1,1,2,1,2,1,1,1
"466",1,1,1,2,1,2,2,1,2
"467",1,1,1,2,1,1,1,1,1
"468",2,1,1,2,1,2,1,1,1
"469",2,1,2,2,1,1,1,1,1
"470",2,1,3,2,1,2,1,1,1
"471",2,6,1,2,4,2,1,1,1
"472",1,6,1,2,1,2,1,1,1
"473",1,6,1,2,4,2,1,2,1
"474",2,6,1,2,4,2,1,2,1
"475",1,1,1,2,1,1,2,1,3
"476",2,1,1,2,1,2,1,1,3
"477",1,1,5,2,1,2,1,3,1
"478",1,1,5,2,1,2,1,3,1
"479",1,1,3,2,1,2,2,1,1
"480",2,1,3,2,1,2,1,1,1
"481",2,1,1,2,1,2,1,1,1
"482",1,1,1,2,1,2,1,1,1
"483",2,1,2,2,1,1,1,1,1
"484",2,2,1,2,1,2,1,1,1
"485",2,1,3,2,1,2,1,1,1
"486",2,1,3,2,1,2,1,1,1
"487",2,1,2,2,1,2,1,1,1
"488",2,1,3,2,1,2,1,1,1
"489",1,2,5,2,1,2,2,1,1
"490",1,1,1,2,1,2,1,1,1
"491",2,1,1,1,3,2,1,1,1
"492",2,1,5,1,5,2,1,1,3
"493",1,1,1,2,1,1,1,2,1
"494",2,1,1,2,1,2,1,3,1
"495",1,1,5,2,1,2,1,1,1
"496",2,1,2,1,5,1,1,1,1
"497",1,1,5,2,1,2,2,1,1
"498",2,1,2,2,1,2,1,1,1
"499",1,1,3,2,1,2,1,3,1
"500",1,1,3,2,1,2,1,1,1
"501",2,1,1,2,1,2,1,1,1
"502",1,1,1,2,5,2,1,1,1
"503",1,1,1,2,1,2,1,1,1
"504",2,1,1,2,1,2,2,1,1
"505",1,4,1,2,1,1,1,1,1
"506",2,4,1,2,1,2,2,1,1
"507",1,4,5,2,1,1,1,1,2
"508",1,6,3,2,4,2,1,1,1
"509",1,1,1,2,1,2,1,1,1
"510",2,1,1,2,1,1,1,1,1
"511",2,1,3,2,1,2,1,1,1
"512",1,2,4,2,1,1,1,1,1
"513",2,2,3,2,1,1,1,1,1
"514",1,2,2,2,1,1,1,1,1
"515",2,2,3,2,1,2,1,3,1
"516",2,1,1,2,1,1,1,1,1
"517",1,1,1,2,1,2,1,1,1
"518",1,1,5,2,1,2,1,1,1
"519",1,2,1,2,1,2,2,1,1
"520",2,2,1,2,1,2,2,1,1
"521",1,6,1,2,4,2,1,1,1
"522",1,1,1,2,1,2,1,1,1
"523",2,1,1,2,1,2,2,1,1
"524",2,1,2,2,1,2,2,1,1
"525",1,1,5,2,1,2,1,1,1
"526",1,2,5,2,1,1,1,1,3
"527",1,1,5,2,1,2,1,1,3
"528",1,1,5,2,1,2,1,3,1
"529",2,1,5,2,1,2,1,1,1
"530",1,1,3,2,1,1,1,1,1
"531",1,1,1,2,1,2,1,1,1
"532",2,1,1,2,1,1,1,1,1
"533",2,1,3,1,2,2,2,3,1
"534",1,1,5,2,1,1,1,1,1
"535",2,1,1,2,1,2,1,1,1
"536",1,1,1,2,1,2,1,1,2
"537",2,6,1,2,6,2,1,1,1
"538",1,6,1,2,1,2,1,1,1
"539",1,1,5,2,1,2,1,1,1
"540",1,4,5,1,3,2,2,3,1
"541",2,1,5,2,1,1,1,3,3
"542",1,1,4,2,1,2,2,1,1
"543",1,1,2,2,1,1,1,1,1
"544",2,1,3,2,1,1,1,1,1
"545",1,1,1,2,1,2,1,1,1
"546",2,1,1,2,1,2,1,1,1
"547",2,1,1,2,1,2,1,1,1
"548",1,1,1,2,1,2,1,1,1
"549",2,1,1,2,1,1,2,1,1
"550",1,1,1,2,7,2,1,3,1
"551",2,1,4,2,1,2,2,1,1
"552",1,1,5,2,1,2,1,1,1
"553",2,4,5,2,7,2,1,1,1
"554",1,1,5,1,1,2,1,3,1
"555",1,1,1,2,1,1,1,1,1
"556",2,1,1,2,1,2,1,1,1
"557",2,1,1,2,1,2,1,1,1
"558",1,1,1,2,1,2,1,1,1
"559",1,1,1,2,1,2,1,3,1
"560",2,1,1,2,1,2,1,3,1
"561",1,2,3,2,1,2,1,3,1
"562",1,3,3,2,1,2,2,1,1
"563",1,1,5,2,1,1,1,1,1
"564",1,6,5,2,4,2,1,1,1
"565",1,6,5,2,4,2,1,1,1
"566",2,1,1,2,1,2,1,1,1
"567",1,1,1,2,1,2,1,1,1
"568",1,1,3,2,1,2,1,3,3
"569",1,1,1,2,1,1,1,3,1
"570",2,1,1,2,1,2,1,3,1
"571",2,1,1,2,1,2,1,1,1
"572",1,1,1,2,1,2,1,1,1
"573",1,1,5,2,1,1,1,1,1
"574",1,2,5,2,1,1,1,1,1
"575",2,2,5,2,1,1,1,1,1
"576",2,2,5,2,1,2,1,3,2
"577",1,1,1,2,1,2,1,1,1
"578",2,1,1,2,1,2,1,1,1
"579",2,1,5,2,1,2,1,1,2
"580",2,1,2,2,5,1,1,3,1
"581",2,1,3,2,1,2,2,1,1
"582",2,1,2,2,1,2,1,1,1
"583",2,2,5,1,1,2,1,3,1
"584",2,2,2,2,1,2,1,1,1
"585",1,1,4,2,1,2,1,1,1
"586",2,2,1,2,1,2,1,3,1
"587",1,1,1,2,1,2,1,1,2
"588",2,1,1,2,1,2,1,1,1
"589",1,1,1,2,1,2,1,1,1
"590",2,1,1,2,1,2,1,1,2
"591",1,1,1,2,1,2,1,1,1
"592",2,1,1,2,1,2,1,1,1
"593",1,2,3,2,1,1,1,3,1
"594",2,2,5,2,1,1,1,3,2
"595",1,1,1,2,1,1,1,1,1
"596",2,1,1,2,1,2,1,1,1
"597",2,1,2,2,1,1,1,1,1
"598",1,1,5,2,1,2,1,3,3
"599",2,1,3,1,1,2,1,1,1
"600",1,1,5,2,1,2,1,1,1
"601",1,1,5,2,1,1,2,1,1
"602",2,1,5,1,3,2,2,3,1
"603",2,1,5,2,1,2,1,1,1
"604",1,1,1,2,1,2,1,1,1
"605",2,1,1,2,1,2,1,1,1
"606",1,1,1,2,1,2,1,1,1
"607",2,1,1,2,1,1,1,1,1
"608",1,1,1,2,1,2,2,1,1
"609",2,1,1,2,1,1,2,1,1
"610",2,2,5,2,1,2,1,1,1
"611",1,2,5,1,6,2,2,1,1
"612",2,2,5,2,1,2,1,1,2
"613",2,2,5,2,1,2,1,1,2
"614",1,1,1,2,1,2,1,1,1
"615",2,1,1,2,1,2,1,1,1
"616",2,1,2,2,1,1,1,1,1
"617",1,1,5,2,1,2,1,1,1
"618",2,1,1,2,1,2,2,1,1
"619",1,1,1,2,1,2,1,1,1
"620",2,1,3,2,1,2,1,1,1
"621",1,1,5,2,1,1,1,3,1
"622",2,1,5,2,1,2,1,3,1
"623",1,1,5,2,1,2,2,1,1
"624",1,1,5,2,1,2,1,3,1
"625",1,1,3,2,1,1,1,1,1
"626",2,1,5,2,1,2,1,1,1
"627",2,1,2,2,1,2,1,1,1
"628",2,1,1,1,5,2,1,1,1
"629",1,1,1,2,1,2,1,1,1
"630",1,6,1,2,1,2,1,1,1
"631",2,6,1,2,4,2,1,1,1
"632",2,1,3,2,1,2,1,1,2
"633",1,1,5,2,1,2,1,1,2
"634",2,1,5,2,1,2,1,1,1
"635",2,1,3,2,1,2,1,1,2
"636",1,1,3,2,1,1,1,1,1
"637",2,1,2,2,1,1,1,1,1
"638",2,1,3,2,1,2,1,1,1
"639",1,1,4,2,1,1,1,1,1
"640",2,1,5,2,1,2,1,1,1
"641",1,1,5,2,1,2,1,1,1
"642",1,1,1,2,1,2,2,1,2
"643",2,1,1,1,3,2,1,1,2
"644",1,1,5,2,1,2,2,1,2
"645",1,1,3,2,1,1,1,1,1
"646",2,1,1,2,1,2,1,1,1
"647",2,1,3,2,1,2,1,1,2
"648",1,1,1,2,1,2,1,1,1
"649",2,1,1,2,1,2,1,1,1
"650",2,1,5,2,1,2,1,3,1
"651",2,1,4,2,1,2,2,1,1
"652",1,1,5,2,1,2,1,3,1
"653",2,1,1,2,1,2,1,3,2
"654",2,2,1,2,1,2,2,3,1
"655",1,2,1,2,1,2,1,3,1
"656",2,1,2,2,1,2,1,1,1
"657",1,6,1,2,4,2,1,2,1
"658",1,1,1,2,1,2,1,1,1
"659",2,1,1,2,1,2,1,1,1
"660",2,1,5,2,1,2,1,1,1
"661",1,1,1,2,1,1,1,1,1
"662",2,1,1,2,1,2,1,1,1
